score,avg_score,goal,avg_goals,path_length,optimal_length,normalized_score
-9747.309978216994,-9747.309978216994,1,1,0.6195695790846477,1.0052372519511288,1.6224767740150616
-9105.17279530259,-9426.241386759792,1,2,4.74458184644266,3.591393375384201,0.7569462371224381
-7061.542481519008,-8638.008418346197,1,3,6.729055980396463,4.180203382121574,0.6212169127883053
-4826.523024175449,-7685.13706980351,1,4,6.948342372168364,4.262860613855032,0.6135075656216871
-6662.07129574067,-7480.523914990942,1,5,7.844163977565126,5.04436647185,0.6430725423738274
-9762.363789096513,-7860.830560675204,1,6,1.6762377728979865,1.4004286732932152,0.8354594413369322
-9932.381073780036,-8156.766348261609,1,7,0.5925867792935019,0.8027555064927091,1.3546632063742228
-7583.10867356854,-8085.059138924975,1,8,6.460054391642336,4.352548125149936,0.6737633866954781
-5209.454957252932,-7765.547563183637,1,9,6.103207518097832,4.262127129685376,0.6983421614039662
-6382.419607604044,-7627.234767625678,1,10,7.5308431364393815,4.6733192037591635,0.6205572363002014
-9727.98347945704,-7818.211923246709,1,11,2.2003082717478706,1.8166197365383658,0.8256205550212689
-9261.57948128906,-7938.492553083573,1,12,4.098661795329923,3.163495211818826,0.7718361186627696
-8928.138447639529,-8014.619160357108,1,13,2.877852872713133,2.6468050779706824,0.9197152165306396
-8764.472741462194,-8068.180130436042,1,14,3.528090215161441,2.0180120077748716,0.571984242098676
-9529.25698914441,-8165.585254349934,1,15,3.0064858202334315,2.1856549192074506,0.7269799526404387
-9478.525524011187,-8247.644021203761,1,16,2.6705075166969574,2.12438698349355,0.7954993461771335
-8728.269815212505,-8275.916126733688,1,17,4.640190221306379,3.3617586172021037,0.7244872423044003
-9847.620664917395,-8363.23304552167,1,18,1.4793997863374133,1.3024977903709636,0.880423129974616
-5123.7256641696285,-8192.732657029457,1,19,7.536634249453104,4.800105778090265,0.6369031081000893
1213.5795062027341,-7722.417048867847,0,19,0.10135730080042533,5.065495940278016,0
-8144.117217920294,-7742.498009298915,1,20,5.125615957105469,3.568964760207465,0.6962996818479794
-7646.066317783414,-7738.114750593665,1,21,6.5041199960440785,4.583952092775987,0.704776679330029
-9684.873445187617,-7822.756432967315,1,22,1.9003817644229692,1.548582220826115,0.8148795414779859
-9987.945817530446,-7912.972657324114,1,23,0.09995833854126941,0.38459019364478375,3.8475048630985347
-8269.52192176322,-7927.234627901679,1,24,5.521981419336847,4.096927083135106,0.7419306172940943
-7577.799219084606,-7913.7948044856375,1,25,6.167140384826616,4.18821698721409,0.6791181529641535
-9581.47589394137,-7975.5607707617755,1,26,1.8884684085069416,1.5632293739828211,0.827776290533099
-8954.850633572083,-8010.535408719287,1,27,3.7225966005159887,3.427859321063806,0.9208248136767413
-6992.057739850978,-7975.4154891031385,1,28,6.790650305276976,3.9412508855974373,0.5803937337981774
-7944.599259029871,-7974.3882814340295,1,29,4.897285755497743,4.1713727528075655,0.8517723819004721
-6082.49460616589,-7913.359453199573,1,30,8.075887452461071,4.5666163991388,0.5654631055745032
-3326.712703545264,-7770.026742272876,1,31,10.01035349216327,5.673979188805413,0.566811071481877
-9814.091675851976,-7831.968103896485,1,32,1.6190364026147552,1.497008725837148,0.9246294421913358
-9275.899339388292,-7874.436669646244,1,33,3.843817630074252,2.5278064249163257,0.6576291250496958
-9034.01849571519,-7907.567578962498,1,34,3.094123923113864,2.083349218201963,0.6733244271953148
-7223.568627341819,-7888.567608084147,1,35,6.425856501833707,4.283266761464284,0.666567446727451
-9878.84200550207,-7942.358808014361,1,36,0.9774853046753232,1.083003919030811,1.107949054426487
-8209.236633267186,-7949.381908678909,1,37,4.007172533798311,4.289563960454239,1.0704714918746598
-3897.3926876756614,-7845.484749166006,1,38,9.367252051143563,5.567159459612917,0.5943215181162199
1655.5283458218205,-7607.959421791311,0,38,1.128280983616831,4.164325045095462,0
-9104.481365589672,-7644.4599570059045,1,39,2.9153391214972992,3.0684127117084206,1.0525062724546788
-7153.416114771996,-7632.768436952716,1,40,6.470387297169647,4.404962782043115,0.6807881166510675
-7492.377242073397,-7629.503525443895,1,41,5.998745185240177,4.029549080336413,0.6717319965933973
-8657.599877949318,-7652.8693516372,1,42,3.2449207811769147,2.177957014231784,0.6711895793776054
-7063.041376845447,-7639.762063308494,1,43,6.742810611775536,4.205594125659324,0.6237152973442176
-8556.423713168764,-7659.689490479371,1,44,4.9684245579823125,3.7877626428592888,0.76236694321419
-8479.905560397678,-7677.140896222312,1,45,4.790207032261108,3.618893597531345,0.7554774925506985
-8196.737835031467,-7687.965832447503,1,46,5.66375480182981,4.248869523046486,0.750185993516843
-7446.23902754413,-7683.0326323474355,1,47,6.734145106121182,4.779201166997884,0.7096967902657312
-8845.500379761866,-7706.281987295723,1,48,3.103297296728123,1.9982893088421982,0.6439245479152256
-9413.545896278833,-7739.757750216961,1,49,2.9146202295206494,1.9677337948167954,0.6751252787195597
-7611.52662836867,-7737.291767104493,1,50,6.701020227677104,4.478411704676948,0.6683178907862186
-4038.908489051313,-7667.510950537452,1,51,9.943102735645105,5.231262249220117,0.5261197020992777
-9445.422846075286,-7700.435244899264,1,52,3.0235822890068107,2.292540288746575,0.7582199092387298
1072.3183336849597,-7540.930634379551,0,52,0.09984052903565012,5.157275508114737,0
-9574.73483567525,-7577.248566545545,1,53,2.3426000355066146,1.9573911606084495,0.8355635323744631
-9208.988723547334,-7605.875586843822,1,54,3.9150736174839476,2.794308672286853,0.7137308120613673
4774.79831689361,-7392.415691951796,0,54,3.014008308908217,5.010981986287854,0
-9568.903932319205,-7429.305323144465,1,55,1.4827386959434192,1.433702126338037,0.9669283807460208
1940.009800553489,-7273.150071082831,0,55,2.3900424713024977,2.664779172889598,0
-1981.062893924557,-7186.394543588433,1,56,10.423456983231336,5.985332437840313,0.5742175985826176
-9819.450892787154,-7228.863194381961,1,57,0.6066894406266902,0.7995177732573343,1.3178369685014772
-7305.032867017785,-7230.072236804752,1,58,6.204436216977292,4.797843671440919,0.7732924481216371
-7969.06693525704,-7241.619028968071,1,59,6.187249010617782,4.494726107088822,0.7264498486121274
-7058.210087679603,-7238.797352948249,1,60,6.690578902676944,4.138739054888466,0.6185920702964178
-8843.419515559859,-7263.109809957516,1,61,3.709791306529838,2.7125913852373795,0.731197838666228
-7845.359172080372,-7271.800098944424,1,62,5.562768391240331,3.650278706104106,0.6561982181124394
-5224.671592110106,-7241.695267961566,1,63,8.590213511538435,5.428419833312696,0.6319307227953304
-5632.660435625507,-7218.375922565391,1,64,7.264733276620499,4.840785690052727,0.6663404567971456
-7565.227221628175,-7223.330941123431,1,65,6.5626180041268025,4.418404878620718,0.6732686369741879
-9709.631580673451,-7258.349259990333,1,66,2.1515681671044917,1.7812604149212454,0.8278893702533283
-9763.12095716221,-7293.137755784385,1,67,1.4316561027392278,1.2437139427454238,0.8687239486953543
-8829.509618281652,-7314.183945681608,1,68,3.6463315764090445,3.8214850016603124,1.0480355177747607
-9297.248466200599,-7340.98211487781,1,69,3.3910164000787093,2.717701910622694,0.8014416888575393
1167.0300512123915,-7227.541952663273,0,69,0.438190735143892,1.7800205800781033,0
-5953.073257291645,-7210.772627724174,1,70,7.063176244298491,4.191434687118934,0.593420656960433
-7928.683917502378,-7220.096150968047,1,71,4.335663644086555,4.2673181189698415,0.9842364328215519
-8477.649016912714,-7236.218623608363,1,72,5.321282765909106,3.8650786244240067,0.7263434014793768
-7308.293939190755,-7237.130969375229,1,73,6.363377573409728,4.486391299285653,0.7050330186334806
2773.814621421118,-7111.994149490274,0,73,1.5052301991612902,4.0628000099226655,0
3076.7949143153364,-6986.206630184032,0,73,5.491812631031134,3.5314574905214067,0
-7224.3838216821605,-6989.111230080351,1,74,6.653735505675187,4.9330513761957455,0.7413957726435302
-3672.2213066400163,-6949.148700882275,1,75,9.982610860953345,5.930637116134934,0.594096794790672
-9925.670476948693,-6984.583483930685,1,76,0.5272249626887722,0.6553413794294257,1.243001424073849
-7842.145151489618,-6994.6724447254965,1,77,5.471605186655001,4.1004964376770845,0.7494138004836334
5688.55201513906,-6847.193090541025,0,77,6.922704440106977,5.397568220007351,0
1173.402798886973,-6755.002333191278,0,77,0.30168177395955703,2.301019190869447,0
1928.658368369749,-6656.3243706735375,0,77,1.0050584765274644,5.216245050604542,0
2518.6214225117883,-6553.235092098422,0,77,1.982111035369048,4.03302865694127,0
2813.2107532833534,-6449.16347159418,0,77,3.633408449884489,4.341708766264309,0
-9812.383526567908,-6486.121933736749,1,78,1.0064605607224821,1.0510061248256286,1.0442596221268419
2024.8075362365826,-6393.611830802256,0,78,3.4370803989041088,2.9741290883244718,0
-9648.198508938282,-6428.607386481139,1,79,2.160351324420402,1.5175990553500527,0.702477897087969
-5913.027670651445,-6423.122495887205,1,80,8.589085487382748,4.341808026504391,0.5055029470695628
1846.0028434707142,-6336.079071262386,0,80,1.1391471232977866,4.025238278619159,0
-7945.210707197082,-6352.840859136704,1,81,5.405564049041162,3.7523236597408545,0.6941595041143654
-6042.107262728638,-6349.637419998477,1,82,6.931602227547492,4.467441527787795,0.644503446841387
-9659.23744771831,-6383.4088488527605,1,83,0.8809930082815919,0.7369683878315673,0.8365201322869182
